@relation ecoli-weka.filters.supervised.attribute.Discretize-Rfirst-last

@attribute a1 {'\'(-inf-55.5]\'','\'(55.5-74.5]\'','\'(74.5-inf)\''}
@attribute a2 {'\'(-inf-58.5]\'','\'(58.5-inf)\''}
@attribute a3 {'\'(-inf-24.5]\'','\'(24.5-inf)\''}
@attribute a4 {'\'All\''}
@attribute a5 {'\'(-inf-56.5]\'','\'(56.5-71.5]\'','\'(71.5-inf)\''}
@attribute a6 {'\'(-inf-3.5]\'','\'(3.5-6.5]\'','\'(6.5-10]\'','\'(10-38.5]\'','\'(38.5-60]\'','\'(60-inf)\''}
@attribute a7 {'\'(-inf-33.5]\'','\'(33.5-61.5]\'','\'(61.5-inf)\''}
@attribute class {cp,im,imS,imL,imU,om,omL,pp}

@data
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(-inf-33.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(38.5-60]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(33.5-61.5]\'',cp
'\'(55.5-74.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(-inf-33.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(33.5-61.5]\'',cp
'\'(55.5-74.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(56.5-71.5]\'','\'(-inf-3.5]\'','\'(-inf-33.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(-inf-33.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(56.5-71.5]\'','\'(38.5-60]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(38.5-60]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(33.5-61.5]\'',cp
'\'(55.5-74.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(38.5-60]\'','\'(-inf-33.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(38.5-60]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(56.5-71.5]\'','\'(10-38.5]\'','\'(-inf-33.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(38.5-60]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(-inf-3.5]\'','\'(-inf-33.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(38.5-60]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(38.5-60]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(-inf-33.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(38.5-60]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(38.5-60]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(38.5-60]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(38.5-60]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(3.5-6.5]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(-inf-33.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(38.5-60]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(56.5-71.5]\'','\'(10-38.5]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(38.5-60]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(38.5-60]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(38.5-60]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(-inf-33.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(-inf-33.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(-inf-33.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(33.5-61.5]\'',cp
'\'(55.5-74.5]\'','\'(58.5-inf)\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(33.5-61.5]\'',cp
'\'(55.5-74.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(-inf-33.5]\'',cp
'\'(55.5-74.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(-inf-33.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(56.5-71.5]\'','\'(10-38.5]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(56.5-71.5]\'','\'(10-38.5]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(56.5-71.5]\'','\'(10-38.5]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(-inf-33.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(-inf-33.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(-inf-3.5]\'','\'(-inf-33.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(-inf-33.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(38.5-60]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(-inf-3.5]\'','\'(-inf-33.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(-inf-3.5]\'','\'(-inf-33.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(3.5-6.5]\'','\'(-inf-33.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(38.5-60]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(-inf-3.5]\'','\'(-inf-33.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(-inf-3.5]\'','\'(-inf-33.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(56.5-71.5]\'','\'(-inf-3.5]\'','\'(-inf-33.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(-inf-33.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(38.5-60]\'','\'(-inf-33.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(38.5-60]\'','\'(-inf-33.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(-inf-3.5]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(33.5-61.5]\'',cp
'\'(55.5-74.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(-inf-33.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(38.5-60]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(38.5-60]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(-inf-33.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(56.5-71.5]\'','\'(10-38.5]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(-inf-33.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(-inf-33.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(38.5-60]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(-inf-58.5]\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(10-38.5]\'','\'(33.5-61.5]\'',cp
'\'(-inf-55.5]\'','\'(58.5-inf)\'','\'(24.5-inf)\'','\'All\'','\'(-inf-56.5]\'','\'(60-inf)\'','\'(33.5-61.5]\'',im
