@relation yeast-2_vs_8-weka.filters.supervised.attribute.Discretize-R2-last

@attribute Mcg numeric
@attribute Gvh {'\'All\''}
@attribute Alm {'\'All\''}
@attribute Mit {'\'All\''}
@attribute Erl {'\'All\''}
@attribute Pox {'\'(-inf-0.25]\'','\'(0.25-inf)\''}
@attribute Vac {'\'All\''}
@attribute Nuc {'\'All\''}
@attribute Class {positive,negative}

@data
0.45,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.42,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.4,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.4,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.54,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.48,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.66,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.21,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.44,'\'All\'','\'All\'','\'All\'','\'All\'','\'(0.25-inf)\'','\'All\'','\'All\'',positive
0.39,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.24,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.49,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.54,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.43,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.48,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.31,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.32,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.32,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.59,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.37,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.44,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.53,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.35,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.52,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.57,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.56,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.37,'\'All\'','\'All\'','\'All\'','\'All\'','\'(0.25-inf)\'','\'All\'','\'All\'',positive
0.41,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.38,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.38,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.45,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.2,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.51,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.44,'\'All\'','\'All\'','\'All\'','\'All\'','\'(0.25-inf)\'','\'All\'','\'All\'',positive
0.38,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.8,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.46,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.56,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.39,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.52,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.55,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.45,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.45,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.54,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.59,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.55,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.32,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.62,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.35,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.43,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.57,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.63,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.25,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.56,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.58,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.71,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.69,'\'All\'','\'All\'','\'All\'','\'All\'','\'(0.25-inf)\'','\'All\'','\'All\'',positive
0.46,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',positive
0.35,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.45,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.47,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.41,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.69,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.51,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.55,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.48,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.62,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.5,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.45,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.51,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.42,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.32,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.59,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.41,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.37,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.45,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.6,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.38,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.59,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.64,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.52,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.49,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.49,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.48,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.44,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.49,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.74,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.3,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.44,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.31,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.55,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.4,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.58,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.58,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.38,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.21,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.48,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.35,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.53,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.46,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.56,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.61,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.66,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.44,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.61,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.41,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.41,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.52,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',positive
0.51,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.5,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.51,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.43,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.42,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.43,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.38,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.27,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.43,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.52,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.51,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.54,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.5,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.46,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.5,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.39,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.48,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.62,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.68,'\'All\'','\'All\'','\'All\'','\'All\'','\'(0.25-inf)\'','\'All\'','\'All\'',positive
0.49,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.57,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.4,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.34,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.29,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.46,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.42,'\'All\'','\'All\'','\'All\'','\'All\'','\'(0.25-inf)\'','\'All\'','\'All\'',positive
0.57,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.58,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.53,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.43,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.49,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.37,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.5,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.59,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.47,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.35,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.49,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.29,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.49,'\'All\'','\'All\'','\'All\'','\'All\'','\'(0.25-inf)\'','\'All\'','\'All\'',positive
0.28,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.69,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.56,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.5,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',positive
0.47,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',positive
0.68,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',positive
0.5,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',positive
0.45,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.49,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.51,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.49,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.52,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.55,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.39,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.57,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.62,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.45,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.47,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.46,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.48,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.43,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.28,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.38,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.55,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.46,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',positive
0.45,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.51,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.55,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.46,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.53,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.42,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.52,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.53,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.56,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.77,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
0.45,'\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
